saturation,avg_time_before,avg_time_after,time_improvement,unassigned_before,unassigned_after,unassigned_improvement
1.5,1.2489718069464957,1.0801810269641619,13.514378710837034,2,2,0.0
1.5,2.7860295890590097,2.4327065135758437,12.681957035585611,1,1,0.0
1.5,2.227298054651732,1.4523824609830756,34.7917330619599,0,0,NaN
1.5,1.9148428110270928,1.3377694457271259,30.136853112785452,0,0,NaN
1.5,2.0049108302561707,1.3562528794204407,32.35345637555611,0,1,-Inf
1.5,2.382446832186363,1.7001297421673593,28.63934173896522,0,0,NaN
1.5,2.074020569386674,1.2855999136288117,38.01411940629946,0,0,NaN
1.5,2.53824949739395,1.8141266874212079,28.52843310778579,0,0,NaN
1.5,2.0005135231619837,1.3920175775902202,30.416987364823378,0,0,NaN
1.5,2.2192640716201892,1.7020592809473194,23.305238763013943,2,2,0.0
1.5,1.6642390686905704,1.2998636268039294,21.894417018663844,0,0,NaN
1.5,1.7104090728683372,1.3421506567917203,21.530429294265357,2,2,0.0
1.5,1.5744142701927557,1.1845718184942917,24.761110152459143,0,0,NaN
1.5,1.6921837343357728,1.270840317255666,24.899389382530345,1,2,-100.0
1.5,1.6377353550710325,1.4133543065942662,13.700690272210334,1,1,0.0
1.5,2.69161127570486,1.7529092715593875,34.875095546612755,2,3,-50.0
1.5,2.3774178733139246,1.630844767295711,31.40268752911966,0,0,NaN
1.5,3.1396251391509953,2.327468787447433,25.86794014278986,0,0,NaN
1.5,2.1992787467843677,1.6122560554277454,26.69160024462229,1,1,0.0
1.5,2.1459217449748116,1.8830971592956585,12.247631410354067,2,1,50.0
